encoding,model,mae,mse,rmse,nrmse,r2
count,knn,41.691,2812.091,53.029,0.418,0.668
minhash,knn,65.288,6533.044,80.827,0.636,0.229
similarity,knn,37.265,2348.643,48.463,0.382,0.723
gap,knn,38.139,2416.342,49.156,0.387,0.715
sum,knn,37.314,2328.558,48.255,0.38,0.725
helm,knn,42.295,2799.623,52.911,0.417,0.67
polynomial,knn,37.432,2355.278,48.531,0.382,0.722
backdiff,knn,37.117,2327.222,48.241,0.38,0.725
target,knn,43.795,3213.116,56.684,0.446,0.621
mestimate,knn,44.395,3297.944,57.428,0.452,0.611
jamesstein,knn,44.395,3204.782,56.611,0.446,0.622
loout,knn,43.767,3158.678,56.202,0.443,0.628
glmm,knn,44.382,3261.113,57.106,0.45,0.616
catboost,knn,48.298,3979.573,63.084,0.497,0.531
quantile,knn,45.075,3350.366,57.882,0.456,0.605
summary,knn,51.635,4331.544,65.814,0.518,0.489
onehot,svm,73.861,8416.44,91.741,0.722,0.007
binary,svm,73.821,8409.829,91.705,0.722,0.007
basen,svm,73.788,8404.824,91.678,0.722,0.008
hash,svm,73.821,8409.84,91.705,0.722,0.007
ordinal,svm,73.776,8403.062,91.668,0.722,0.008
gray,svm,73.821,8409.823,91.705,0.722,0.007
rankhot,svm,73.861,8416.404,91.741,0.722,0.007
count,svm,73.77,8402.239,91.664,0.722,0.008
minhash,svm,72.565,7952.893,89.179,0.702,0.061
similarity,svm,73.861,8416.439,91.741,0.722,0.007
gap,svm,73.847,8414.154,91.729,0.722,0.007
sum,svm,73.861,8416.315,91.74,0.722,0.007
helm,svm,73.86,8416.219,91.74,0.722,0.007
polynomial,svm,73.861,8416.319,91.74,0.722,0.007
backdiff,svm,73.861,8416.326,91.741,0.722,0.007
target,svm,73.745,8408.268,91.697,0.722,0.009
mestimate,svm,73.687,8394.529,91.622,0.721,0.01
jamesstein,svm,73.742,8407.307,91.691,0.722,0.009
loout,svm,73.694,8396.244,91.631,0.722,0.01
glmm,svm,73.721,8402.423,91.665,0.722,0.01
catboost,svm,73.688,8395.358,91.626,0.721,0.01
quantile,svm,73.658,8387.062,91.581,0.721,0.011
summary,svm,73.594,8371.505,91.496,0.72,0.013
onehot,lgr,17.432,493.404,22.213,0.175,0.942
binary,lgr,17.514,495.335,22.256,0.175,0.942
basen,lgr,17.609,500.333,22.368,0.176,0.941
hash,lgr,17.405,493.541,22.216,0.175,0.942
ordinal,lgr,17.582,498.551,22.328,0.176,0.941
gray,lgr,17.495,495.522,22.26,0.175,0.942
rankhot,lgr,17.432,493.404,22.213,0.175,0.942
count,lgr,17.763,511.134,22.608,0.178,0.94
minhash,lgr,17.41,483.959,21.999,0.173,0.943
similarity,lgr,17.432,493.404,22.213,0.175,0.942
gap,lgr,17.298,493.128,22.206,0.175,0.942
sum,lgr,17.432,493.404,22.213,0.175,0.942
helm,lgr,17.432,493.404,22.213,0.175,0.942
polynomial,lgr,17.432,493.404,22.213,0.175,0.942
backdiff,lgr,17.432,493.404,22.213,0.175,0.942
