encoding,model,mae,mse,rmse,nrmse,r2
summary,lgr,17.591,498.845,22.335,0.176,0.941
onehot,dt,27.992,1154.146,33.973,0.268,0.864
binary,dt,29.223,1306.065,36.14,0.285,0.846
basen,dt,26.862,1094.385,33.081,0.26,0.871
hash,dt,29.235,1284.457,35.839,0.282,0.848
ordinal,dt,27.915,1207.567,34.75,0.274,0.857
gray,dt,28.498,1264.417,35.559,0.28,0.851
rankhot,dt,28.53,1230.854,35.084,0.276,0.855
count,dt,29.097,1277.745,35.746,0.281,0.849
minhash,dt,28.623,1238.413,35.191,0.277,0.854
similarity,dt,28.498,1190.676,34.506,0.272,0.859
gap,dt,28.073,1256.186,35.443,0.279,0.852
sum,dt,28.636,1222.555,34.965,0.275,0.856
helm,dt,28.15,1214.87,34.855,0.274,0.857
polynomial,dt,30.275,1397.538,37.384,0.294,0.835
backdiff,dt,28.449,1238.19,35.188,0.277,0.854
target,dt,26.931,1076.825,32.815,0.258,0.873
mestimate,dt,28.309,1236.057,35.158,0.277,0.854
jamesstein,dt,29.199,1281.598,35.799,0.282,0.849
loout,dt,43.354,2889.541,53.754,0.423,0.659
glmm,dt,28.203,1179.415,34.343,0.27,0.861
catboost,dt,27.992,1250.439,35.362,0.278,0.853
quantile,dt,28.138,1206.236,34.731,0.273,0.858
summary,dt,28.13,1250.967,35.369,0.278,0.853
