encoding,model,mae,mse,rmse,nrmse,r2
summary,lgr,17.591,498.845,22.335,0.176,0.941
onehot,dt,26.664,1054.98,32.48,0.256,0.875
binary,dt,29.287,1289.117,35.904,0.283,0.848
basen,dt,27.3,1153.34,33.961,0.267,0.864
hash,dt,28.939,1252.049,35.384,0.279,0.852
ordinal,dt,27.449,1193.474,34.547,0.272,0.859
gray,dt,28.429,1266.988,35.595,0.28,0.85
rankhot,dt,28.757,1292.126,35.946,0.283,0.847
count,dt,28.688,1278.267,35.753,0.282,0.849
minhash,dt,28.045,1195.543,34.577,0.272,0.859
similarity,dt,29.494,1263.437,35.545,0.28,0.851
gap,dt,28.571,1249.283,35.345,0.278,0.853
sum,dt,28.462,1207.595,34.75,0.274,0.857
helm,dt,27.68,1164.798,34.129,0.269,0.863
polynomial,dt,30.215,1380.652,37.157,0.293,0.837
backdiff,dt,27.595,1171.328,34.225,0.269,0.862
target,dt,29.069,1260.606,35.505,0.28,0.851
mestimate,dt,27.565,1181.492,34.373,0.271,0.861
jamesstein,dt,28.012,1197.663,34.607,0.272,0.859
loout,dt,43.443,2878.012,53.647,0.422,0.661
glmm,dt,28.366,1221.512,34.95,0.275,0.856
catboost,dt,29.419,1356.858,36.836,0.29,0.84
quantile,dt,29.106,1288.797,35.9,0.283,0.848
summary,dt,27.504,1181.61,34.375,0.271,0.861
