encoding,model,accuracy,precision,recall,F1,AUC
gray,lgr,1.0,1.0,1.0,1.0,
rankhot,lgr,1.0,1.0,1.0,1.0,
count,lgr,0.995,0.995,0.995,0.995,
minhash,lgr,1.0,1.0,1.0,1.0,
similarity,lgr,1.0,1.0,1.0,1.0,
gap,lgr,1.0,1.0,1.0,1.0,
sum,lgr,1.0,1.0,1.0,1.0,
helm,lgr,1.0,1.0,1.0,1.0,
polynomial,lgr,1.0,1.0,1.0,1.0,
backdiff,lgr,1.0,1.0,1.0,1.0,
target,lgr,1.0,1.0,1.0,1.0,
mestimate,lgr,1.0,1.0,1.0,1.0,
jamesstein,lgr,1.0,1.0,1.0,1.0,
loout,lgr,0.998,0.998,0.997,0.998,
glmm,lgr,1.0,1.0,1.0,1.0,
catboost,lgr,0.985,0.985,0.985,0.985,
woe,lgr,1.0,1.0,1.0,1.0,
onehot,dt,1.0,1.0,1.0,1.0,
binary,dt,1.0,1.0,1.0,1.0,
basen,dt,1.0,1.0,1.0,1.0,
hash,dt,0.962,0.962,0.962,0.962,
ordinal,dt,1.0,1.0,1.0,1.0,
gray,dt,1.0,1.0,1.0,1.0,
rankhot,dt,1.0,1.0,1.0,1.0,
count,dt,1.0,1.0,1.0,1.0,
minhash,dt,1.0,1.0,1.0,1.0,
similarity,dt,1.0,1.0,1.0,1.0,
gap,dt,1.0,1.0,1.0,1.0,
sum,dt,1.0,1.0,1.0,1.0,
helm,dt,1.0,1.0,1.0,1.0,
polynomial,dt,1.0,1.0,1.0,1.0,
backdiff,dt,1.0,1.0,1.0,1.0,
target,dt,1.0,1.0,1.0,1.0,
mestimate,dt,1.0,1.0,1.0,1.0,
jamesstein,dt,1.0,1.0,1.0,1.0,
loout,dt,0.519,0.259,0.5,0.342,
glmm,dt,1.0,1.0,1.0,1.0,
catboost,dt,0.884,0.903,0.888,0.884,
woe,dt,1.0,1.0,1.0,1.0,
