encoding,model,accuracy,precision,recall,F1,AUC
gray,lgr,0.862,0.697,0.597,0.62,
rankhot,lgr,0.864,0.707,0.634,0.658,
count,lgr,0.868,0.723,0.604,0.63,
minhash,lgr,0.862,0.699,0.621,0.645,
similarity,lgr,0.864,0.707,0.634,0.658,
gap,lgr,0.857,0.681,0.606,0.627,
sum,lgr,0.864,0.707,0.634,0.658,
helm,lgr,0.864,0.707,0.634,0.658,
polynomial,lgr,0.864,0.707,0.634,0.658,
backdiff,lgr,0.864,0.707,0.634,0.658,
target,lgr,0.868,0.72,0.637,0.663,
mestimate,lgr,0.865,0.71,0.632,0.657,
jamesstein,lgr,0.867,0.717,0.639,0.664,
loout,lgr,0.859,0.686,0.601,0.623,
glmm,lgr,0.863,0.703,0.625,0.649,
catboost,lgr,0.853,0.662,0.586,0.604,
woe,lgr,0.866,0.713,0.633,0.658,
onehot,dt,0.918,0.821,0.859,0.838,
binary,dt,0.92,0.824,0.869,0.844,
basen,dt,0.924,0.837,0.853,0.845,
hash,dt,0.829,0.658,0.68,0.667,
ordinal,dt,0.924,0.839,0.847,0.843,
gray,dt,0.915,0.818,0.842,0.829,
rankhot,dt,0.918,0.825,0.841,0.833,
count,dt,0.92,0.832,0.836,0.834,
minhash,dt,0.921,0.837,0.83,0.833,
similarity,dt,0.912,0.81,0.846,0.826,
gap,dt,0.921,0.833,0.843,0.837,
sum,dt,0.914,0.813,0.857,0.832,
helm,dt,0.924,0.839,0.847,0.843,
polynomial,dt,0.903,0.795,0.814,0.804,
backdiff,dt,0.926,0.845,0.845,0.845,
target,dt,0.92,0.833,0.833,0.833,
mestimate,dt,0.925,0.848,0.833,0.84,
jamesstein,dt,0.926,0.852,0.83,0.841,
loout,dt,0.861,0.43,0.5,0.463,
glmm,dt,0.919,0.83,0.832,0.831,
catboost,dt,0.931,0.855,0.857,0.856,
woe,dt,0.929,0.856,0.841,0.848,
