encoding,model,accuracy,precision,recall,F1,AUC
gray,lgr,1.0,1.0,1.0,1.0,
rankhot,lgr,0.993,0.995,0.986,0.991,
count,lgr,1.0,1.0,1.0,1.0,
minhash,lgr,1.0,1.0,1.0,1.0,
similarity,lgr,0.986,0.974,0.99,0.982,
gap,lgr,1.0,1.0,1.0,1.0,
sum,lgr,0.986,0.974,0.99,0.982,
helm,lgr,0.979,0.962,0.986,0.973,
polynomial,lgr,0.986,0.974,0.99,0.982,
backdiff,lgr,0.993,0.986,0.995,0.991,
target,lgr,1.0,1.0,1.0,1.0,
mestimate,lgr,1.0,1.0,1.0,1.0,
jamesstein,lgr,0.993,0.986,0.995,0.991,
loout,lgr,0.929,0.957,0.861,0.897,
glmm,lgr,1.0,1.0,1.0,1.0,
catboost,lgr,1.0,1.0,1.0,1.0,
woe,lgr,1.0,1.0,1.0,1.0,
onehot,dt,1.0,1.0,1.0,1.0,
binary,dt,1.0,1.0,1.0,1.0,
basen,dt,1.0,1.0,1.0,1.0,
hash,dt,1.0,1.0,1.0,1.0,
ordinal,dt,1.0,1.0,1.0,1.0,
gray,dt,1.0,1.0,1.0,1.0,
rankhot,dt,1.0,1.0,1.0,1.0,
count,dt,1.0,1.0,1.0,1.0,
minhash,dt,1.0,1.0,1.0,1.0,
similarity,dt,1.0,1.0,1.0,1.0,
gap,dt,1.0,1.0,1.0,1.0,
sum,dt,1.0,1.0,1.0,1.0,
helm,dt,1.0,1.0,1.0,1.0,
polynomial,dt,1.0,1.0,1.0,1.0,
backdiff,dt,1.0,1.0,1.0,1.0,
target,dt,1.0,1.0,1.0,1.0,
mestimate,dt,1.0,1.0,1.0,1.0,
jamesstein,dt,1.0,1.0,1.0,1.0,
loout,dt,0.745,0.372,0.5,0.427,
glmm,dt,1.0,1.0,1.0,1.0,
catboost,dt,1.0,1.0,1.0,1.0,
woe,dt,1.0,1.0,1.0,1.0,
