encoding,model,accuracy,precision,recall,F1,AUC
gray,lgr,0.899,0.858,0.704,0.75,
rankhot,lgr,0.899,0.858,0.704,0.75,
count,lgr,0.902,0.862,0.712,0.759,
minhash,lgr,0.899,0.858,0.704,0.75,
similarity,lgr,0.899,0.858,0.704,0.75,
gap,lgr,0.899,0.858,0.704,0.75,
sum,lgr,0.899,0.858,0.704,0.75,
helm,lgr,0.899,0.858,0.704,0.75,
polynomial,lgr,0.899,0.858,0.704,0.75,
backdiff,lgr,0.899,0.858,0.704,0.75,
target,lgr,0.898,0.848,0.706,0.751,
mestimate,lgr,0.898,0.848,0.706,0.751,
jamesstein,lgr,0.898,0.848,0.706,0.751,
loout,lgr,0.901,0.856,0.711,0.757,
glmm,lgr,0.901,0.86,0.708,0.755,
catboost,lgr,0.901,0.856,0.711,0.757,
woe,lgr,0.901,0.86,0.708,0.755,
onehot,dt,0.866,0.735,0.732,0.734,
binary,dt,0.862,0.729,0.737,0.733,
basen,dt,0.857,0.72,0.73,0.725,
hash,dt,0.858,0.721,0.724,0.723,
ordinal,dt,0.858,0.723,0.738,0.73,
gray,dt,0.87,0.743,0.734,0.738,
rankhot,dt,0.858,0.723,0.738,0.73,
count,dt,0.855,0.716,0.729,0.722,
minhash,dt,0.86,0.723,0.722,0.722,
similarity,dt,0.857,0.719,0.724,0.721,
gap,dt,0.863,0.73,0.727,0.729,
sum,dt,0.871,0.745,0.745,0.745,
helm,dt,0.863,0.731,0.734,0.733,
polynomial,dt,0.857,0.72,0.727,0.723,
backdiff,dt,0.855,0.717,0.736,0.726,
target,dt,0.868,0.74,0.74,0.74,
mestimate,dt,0.857,0.718,0.713,0.716,
jamesstein,dt,0.861,0.725,0.715,0.72,
loout,dt,0.851,0.425,0.5,0.46,
glmm,dt,0.871,0.745,0.749,0.747,
catboost,dt,0.87,0.743,0.724,0.733,
woe,dt,0.858,0.722,0.731,0.727,
