encoding,model,accuracy,precision,recall,F1,AUC
gap,lgr,0.925,0.826,0.904,0.853,
sum,lgr,0.928,0.847,0.887,0.862,
helm,lgr,0.931,0.856,0.91,0.876,
polynomial,lgr,0.931,0.856,0.91,0.876,
backdiff,lgr,0.936,0.868,0.916,0.887,
target,lgr,0.896,0.81,0.782,0.787,
mestimate,lgr,0.896,0.81,0.782,0.787,
jamesstein,lgr,0.902,0.833,0.788,0.798,
loout,lgr,0.905,0.844,0.82,0.827,
glmm,lgr,0.896,0.81,0.782,0.787,
catboost,lgr,0.509,0.378,0.571,0.375,
onehot,dt,0.954,0.852,0.897,0.867,
binary,dt,0.928,0.795,0.821,0.801,
basen,dt,0.962,0.886,0.929,0.898,
hash,dt,0.676,0.17,0.249,0.202,
ordinal,dt,0.965,0.88,0.909,0.882,
gray,dt,0.974,0.899,0.941,0.913,
rankhot,dt,0.968,0.881,0.912,0.884,
count,dt,0.679,0.17,0.25,0.202,
minhash,dt,0.962,0.873,0.906,0.874,
similarity,dt,0.962,0.873,0.906,0.874,
gap,dt,0.951,0.854,0.894,0.852,
sum,dt,0.957,0.853,0.9,0.869,
helm,dt,0.968,0.888,0.935,0.903,
polynomial,dt,0.968,0.888,0.935,0.903,
backdiff,dt,0.965,0.88,0.909,0.882,
target,dt,0.965,0.88,0.909,0.882,
mestimate,dt,0.965,0.88,0.909,0.882,
jamesstein,dt,0.971,0.898,0.938,0.911,
loout,dt,0.798,0.386,0.455,0.401,
glmm,dt,0.971,0.898,0.938,0.911,
catboost,dt,0.691,0.404,0.51,0.359,
