encoding,model,accuracy,precision,recall,F1,AUC
gray,lgr,0.795,0.76,0.722,0.735,
rankhot,lgr,0.805,0.77,0.743,0.754,
count,lgr,0.725,0.661,0.632,0.64,
minhash,lgr,0.8,0.763,0.74,0.749,
similarity,lgr,0.8,0.763,0.74,0.749,
gap,lgr,0.8,0.763,0.74,0.749,
sum,lgr,0.805,0.77,0.743,0.754,
helm,lgr,0.805,0.77,0.743,0.754,
polynomial,lgr,0.805,0.77,0.743,0.754,
backdiff,lgr,0.805,0.77,0.743,0.754,
target,lgr,0.785,0.746,0.71,0.722,
mestimate,lgr,0.785,0.746,0.71,0.722,
jamesstein,lgr,0.785,0.745,0.714,0.726,
loout,lgr,0.765,0.719,0.681,0.693,
glmm,lgr,0.79,0.752,0.718,0.73,
catboost,lgr,0.74,0.683,0.638,0.649,
woe,lgr,0.785,0.745,0.714,0.726,
onehot,dt,0.725,0.669,0.667,0.668,
binary,dt,0.705,0.642,0.638,0.64,
basen,dt,0.7,0.637,0.634,0.636,
hash,dt,0.64,0.564,0.562,0.563,
ordinal,dt,0.66,0.591,0.591,0.591,
gray,dt,0.72,0.663,0.663,0.663,
rankhot,dt,0.725,0.662,0.642,0.649,
count,dt,0.715,0.655,0.65,0.652,
minhash,dt,0.67,0.609,0.613,0.611,
similarity,dt,0.71,0.653,0.656,0.655,
gap,dt,0.745,0.7,0.716,0.706,
sum,dt,0.69,0.63,0.632,0.631,
helm,dt,0.73,0.682,0.695,0.687,
polynomial,dt,0.735,0.681,0.679,0.68,
backdiff,dt,0.685,0.62,0.619,0.619,
target,dt,0.71,0.644,0.632,0.636,
mestimate,dt,0.725,0.666,0.657,0.661,
jamesstein,dt,0.705,0.642,0.638,0.64,
loout,dt,0.705,0.352,0.5,0.413,
glmm,dt,0.705,0.642,0.638,0.64,
catboost,dt,0.715,0.66,0.665,0.662,
woe,dt,0.69,0.623,0.618,0.62,
